('35', '128', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '21', '2033-10-13 13:06:21', NULL),
('20', '80', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2029-10-14 04:19:25', NULL),
('6', '134', 'Complimenti per il tuo talento nel spiegare argomenti complessi in modo semplice e chiaro.', '11', '2034-04-27 03:08:21', NULL),
('32', '140', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '36', '2034-10-13 15:18:05', NULL),
('12', '45', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2026-11-21 09:25:36', NULL),
('28', '73', 'Grazie per aver condiviso questo video. Mi hai ispirato a provare qualcosa di nuovo!', '0', '2029-03-21 04:28:18', NULL),
('42', '3', 'Mi sono divertito tantissimo guardando questo video. Continua così!', '8', '2026-06-16 07:04:59', NULL),
('3', '5', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2023-07-21 05:57:08', NULL),
('22', '92', 'Mi sono sentito motivato dopo aver visto questo video. Continua a pubblicare contenuti fantastici!', '5', '2030-10-14 06:31:09', NULL),
('19', '79', 'Che video coinvolgente! Non riuscivo a smettere di guardarne un minuto.', '29', '2029-09-06 16:38:02', NULL),
('22', '66', 'Ci sono troppe interruzioni nel video, rendendolo difficile da seguire.', '0', '2028-08-16 09:55:05', NULL),
('20', '96', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2031-02-26 13:13:32', NULL),
('4', '121', 'Questo video è davvero illuminante! Mi ha dato una nuova prospettiva sull argomento.', '0', '2033-03-22 04:22:15', NULL),
('23', '87', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2030-05-15 16:38:36', NULL),
('42', '113', 'Questo video è davvero ispiratore! Mi ha fatto venire voglia di mettermi all opera.', '0', '2032-07-22 07:56:46', NULL),
('13', '127', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '33', '2033-09-06 01:24:58', NULL),
('17', '56', 'Mi aspettavo di più da questo video. Non mi ha davvero soddisfatto.', '0', '2027-10-13 08:48:56', NULL),
('15', '1', 'Mi aspettavo di più da questo video. È stato un po  deludente.', '0', '2024-03-26 14:50:41', NULL),
('47', '115', 'Complimenti per l ottima qualità della produzione del video. È professionale e ben curato.', '0', '2032-09-05 23:13:14', NULL),
('41', '25', 'Ottima presentazione! Hai reso il contenuto così facile da capire.', '0', '2026-05-03 06:55:32', NULL),
